year,state,house,senate,pres,pres & senate,pres & sen & house
1990,IN,2237,0,0,0,2237
1990,MD,409,0,0,0,409
1990,MO,189996,0,0,0,189996
1990,NV,121,0,0,0,121
1990,NY,3071,0,0,0,3071
1990,ND,52,0,0,0,52
1990,OH,2026,0,0,0,2026
1990,PA,1903,0,0,0,1903
1990,UT,359,0,0,0,359
1990,VT,96,0,0,0,96
1990,WA,1149,0,0,0,1149
1990,WI,762,0,0,0,762
1990,DC,0,0,0,0,0
1990,USA,397368,4159,0,4159,401527
1992,AL,2132,49,249,225,2357
1992,AK,459,109,179,166,625
1992,AZ,583,65,1162,1227,1810
1992,AR,1091,78,89,86,1177
1992,CA,414038,358,120,320,414358
1992,CO,453,181,421,357,810
1992,CT,561,1500661,263,1500924,1501485
1992,DE,125,0,202,202,327
1992,FL,4458,51,1199,1250,5708
1992,GA,4634,1659,2321133,2321133,2325767
1992,HI,63,52,142,134,197
1992,ID,139,123,118,118,257
1992,IL,1333,159,112,153,1486
1992,IN,1828,96,278,249,2077
1992,IA,4621,37,284,253,4874
1992,KS,392,49,338,296,688
1992,KY,777,58,593,474,1251
1992,LA,3401,16,383,399,3800
1992,ME,287,0,198,198,485
1992,MD,1160,37,113,108,1268
1992,MA,1013,0,86,86,1099
1992,MI,3903,0,226,226,4129
1992,MN,279075,0,139,139,279214
1992,MS,230,0,184,184,414
1992,MO,2120,241,160,222,2342
1992,MT,532,0,816,816,1348
1992,NE,967,0,92,92,1059
1992,NV,466,150,766,645,1111
1992,NH,213,699,2638,3337,3550
1992,NJ,1203,0,880,880,2083
1992,NM,229,0,193,193,422
1992,NY,140313,440,86,371,140684
1992,NC,1175,449,10452,10901,12076
1992,ND,91,79,134,127,218
1992,OH,3487,190,1277,1467,4954
1992,OK,780,78,191,177,957
1992,OR,612,305,164,287,899
1992,PA,257588,715,182,603,258191
1992,RI,69,0,88,88,157
1992,SC,943,614,424,507,1450
1992,SD,37,48,529,433,470
1992,TN,2540,0,380,380,2920
1992,TX,2131,0,536,536,2667
1992,UT,605,102,99,98,703
1992,VT,58,150,101,143,201
1992,VA,1014,0,408,408,1422
1992,WA,2353,208,141,197,2550
1992,WV,103,0,123,123,226
1992,WI,779,257,410,350,1129
1992,WY,86,0,307,307,393
1992,DC,0,0,21,21,21
1992,USA,1147250,1508563,2349809,3852616,4999866
1994,AZ,413,113,0,113,526
1994,CA,216911,1207,0,1207,218118
1994,CT,186344,161,0,161,186505
1994,DE,35,120,0,120,155
1994,FL,1718,38,0,38,1756
1994,HI,193,33,0,33,226
1994,IN,1782,42,0,42,1824
1994,ME,839,66,0,66,905
1994,MD,377,87,0,87,464
1994,MA,1064,93,0,93,1157
1994,MI,1811,180,0,180,1991
1994,MN,229234,353,0,353,229587
1994,MS,332,42,0,42,374
1994,MO,842,66,0,66,908
1994,MT,263,64,0,64,327
1994,NE,5009,167,0,167,5176
1994,NV,5119,164,0,164,5283
1994,NJ,2880,579,0,579,3459
1994,NM,136,208,0,208,344
1994,NY,3990,104,0,104,4094
1994,ND,229,100,0,100,329
1994,OH,3420,113,0,113,3533
1994,PA,153222,827,0,827,154049
1994,RI,243,54,0,54,297
1994,TN,3405,112,0,112,3517
1994,TX,3311,70,0,70,3381
1994,UT,301,39,0,39,340
1994,VT,573,167,0,167,740
1994,VA,917,729,0,729,1646
1994,WA,3165,141,0,141,3306
1994,WV,153,41,0,41,194
1994,WI,99468,90,0,90,99558
1994,WY,135,81,0,81,216
1994,AL,4391,0,0,0,4391
1994,AK,65,0,0,0,65
1994,AR,912,0,0,0,912
1994,CO,326,0,0,0,326
1994,GA,1062,0,0,0,1062
1994,ID,180,0,0,0,180
1994,IL,1439,0,0,0,1439
1994,IA,642,0,0,0,642
1994,KS,495,0,0,0,495
1994,KY,153931,0,0,0,153931
1994,LA,112,0,0,0,112
1994,NH,356,0,0,0,356
1994,NC,12454,0,0,0,12454
1994,OK,796,0,0,0,796
1994,OR,254791,0,0,0,254791
1994,SC,650,0,0,0,650
1994,SD,68,0,0,0,68
1994,DC,0,0,0,0,0
1994,USA,1360504,6451,0,6451,1366955
1996,AL,2367,240,241,223,2590
1996,AK,69,24,90,87,156
1996,AZ,4931,0,963,963,5894
1996,AR,745,320,94,295,1040
1996,CA,15337,0,125,125,15462
1996,CO,408,303,2094,2397,2805
1996,CT,1963,0,87,87,2050
1996,DE,37,72,105,102,139
1996,FL,1277,0,301,301,1578
1996,GA,1467,2220,2867,5087,6554
1996,HI,523,0,62,62,585
1996,ID,890,93,85,89,979
1996,IL,242404,103,91,101,242505
1996,IN,2255,0,308,308,2563
1996,IA,2252,342,157,301,2553
1996,KS,1222,57,87,84,1306
1996,KY,252486,128,4812,4940,257426
1996,LA,448,1700102,134,1700236,1700684
1996,ME,186,327,76,287,473
