year,state,postal code,district,margin,total votes,initial sample,expected sample
1980,Virginia,VA,6,0.9835995585735805,124143,5,5
1980,Virginia,VA,7,0.9937462605772244,140396,5,5
1980,Virginia,VA,8,0.005584567400215419,195897,820,195897
1980,Virginia,VA,9,0.3872829679281292,171864,12,13
1980,Virginia,VA,10,0.02287029860111468,216744,201,279
1980,Washington,WA,1,0.6014080352572723,230534,8,8
1980,Washington,WA,2,0.3128370281605752,253688,15,15
1980,Washington,WA,3,0.25337449452925903,248778,19,19
1980,Washington,WA,4,0.14725836332275719,234805,32,33
1980,Washington,WA,5,0.03800030141882145,232235,121,145
1980,Washington,WA,6,0.07273750867377443,229139,63,70
1980,Washington,WA,7,0.14528127632366822,197066,32,33
1980,West Virginia,WV,1,0.27253136304163783,168909,17,18
1980,West Virginia,WV,2,0.1189964352771504,183745,39,41
1980,West Virginia,WV,3,0.05347983716021675,179563,86,98
1980,West Virginia,WV,4,0.5310353806594408,153615,9,9
1980,Wisconsin,WI,1,0.13444453355432584,224442,35,36
1980,Wisconsin,WI,2,0.08559387089663979,263138,54,58
1980,Wisconsin,WI,3,0.019863405287636943,258868,231,341
1980,Wisconsin,WI,4,0.4083886792994133,209139,12,12
1980,Wisconsin,WI,5,0.5487343803873546,168218,9,9
1980,Wisconsin,WI,6,0.18693299149667575,242611,25,26
1980,Wisconsin,WI,7,0.29355743840193305,254107,16,16
1980,Wisconsin,WI,8,0.353457559247944,250726,13,14
1980,Wisconsin,WI,9,0.5678484409626006,263079,9,9
1980,Wyoming,WY,0,0.3713810924047873,169699,13,13
1982,Arizona,AZ,1,0.35388642800624137,135227,13,14
1982,Arizona,AZ,2,0.4346412793950267,103674,11,11
1982,Arizona,AZ,3,0.2662253975801104,159842,18,18
1982,Arizona,AZ,4,0.3536084033382371,145466,13,14
1982,Arizona,AZ,5,0.014430282610520257,166802,318,573
1982,California,CA,1,0.026396380559384917,216166,174,230
1982,California,CA,2,0.17375829960321418,200612,27,28
1982,California,CA,3,0.8216449658373083,217196,6,6
1982,California,CA,4,0.27721091185459484,185523,17,17
1982,California,CA,5,0.17457700310132296,178311,27,28
1982,California,CA,6,0.07742415681502086,184064,60,65
1982,California,CA,7,0.370584902763291,188869,13,13
1982,California,CA,8,0.11896552517826646,217231,39,41
1982,California,CA,9,0.21320201051744675,172095,22,23
1982,California,CA,10,0.2900446946406989,123281,16,17
1982,California,CA,11,0.17336202773792445,192372,27,28
1982,California,CA,12,0.29470874634295446,183208,16,16
1982,California,CA,13,0.34489545919459574,168164,14,14
1982,California,CA,14,0.2685174246898996,211625,18,18
1982,California,CA,15,0.2967499240982502,135043,16,16
1982,California,CA,16,0.7073462694071033,167078,7,7
1982,California,CA,17,0.08010899182561308,148635,58,63
1982,California,CA,18,0.21226599626748413,155927,22,23
1982,California,CA,19,0.2520760287875992,184246,19,19
1982,California,CA,20,0.36195404266598924,181081,13,13
1982,California,CA,21,0.477581743763196,192767,10,10
1982,California,CA,22,0.5010039248922925,198222,10,10
1982,California,CA,23,0.19109156439978503,202819,24,25
1982,California,CA,24,0.34087852486606063,136069,14,14
1982,California,CA,25,0.7099776350912632,83166,7,7
1982,California,CA,26,0.19155730935119758,163455,24,25
1982,California,CA,27,0.22428203735107044,182217,21,22
1982,California,CA,28,0.6023240209832865,131152,8,8
1982,California,CA,29,0.5959077601236883,121596,8,8
1982,California,CA,30,0.07718292920181814,113082,60,65
1982,California,CA,31,0.44818430039829327,119761,11,11
1982,California,CA,32,0.18356290111576107,145999,25,26
1982,California,CA,33,0.32984044096315634,172350,14,15
1982,California,CA,34,0.14487774630892727,119342,32,34
1982,California,CA,35,0.36598540588003753,165135,13,13
1982,California,CA,36,0.08647547673288056,140907,53,58
1982,California,CA,37,0.20551295313483853,177872,23,23
1982,California,CA,38,0.08949441146888414,141182,52,56
1982,California,CA,39,0.4619338581272439,179372,10,11
1982,California,CA,40,0.4547718253968254,201600,11,11
1982,California,CA,41,0.4003371653535567,203461,12,12
1982,California,CA,42,0.406449680993388,207049,12,12
1982,California,CA,43,0.046747742563739376,180736,98,114
1982,California,CA,44,0.3312807779846886,120825,14,15
1982,California,CA,45,0.39371091885094145,171758,12,12
1982,Connecticut,CT,1,0.3692601149857611,186110,13,13
1982,Connecticut,CT,2,0.12271447222823956,170803,38,40
1982,Connecticut,CT,3,0.009297378326692349,181449,493,1602
