year,state,postal code,margin,total votes,initial sample,expected sample
1990,New Mexico,NM,0.4587406435378362,406938,34,34
1990,North Carolina,NC,0.05110106615577519,2069585,298,341
1990,Oklahoma,OK,0.6635063052714647,884498,23,24
1990,Oregon,OR,0.07491619323996707,1099255,203,222
1990,Rhode Island,RI,0.23665749240513978,364062,65,67
1990,South Carolina,SC,0.31692410978319363,750716,48,49
1990,South Dakota,SD,0.07319211046583467,258976,208,228
1990,Tennessee,TN,0.37911297297435204,783922,41,41
1990,Texas,TX,0.22824049352237494,3822157,67,69
1990,Virginia,VA,0.6275106349601823,1083690,25,25
1990,West Virginia,WV,0.36646343725652664,404305,42,43
1990,Wyoming,WY,0.27872513195290294,157632,55,56
1992,Alabama,AL,0.31733002746230665,1577799,48,49
1992,Alaska,AK,0.14641614590720609,239714,104,109
1992,Arizona,AZ,0.24244691404296947,1382051,63,65
1992,Arkansas,AR,0.20354388222711106,920008,75,78
1992,California,CA,0.04900921812386878,10799703,311,358
1992,Colorado,CO,0.09072537394776359,1552289,168,181
1992,Connecticut,CT,0.003749014600899204,1500661,4055,1500661
1992,Florida,FL,0.30813596142103744,4962290,50,51
1992,Georgia,GA,0.0156041050157067,2251587,975,1659
1992,Hawaii,HI,0.30340810972826415,363662,51,52
1992,Idaho,ID,0.13047330847809005,478504,117,123
1992,Illinois,IL,0.10211358992039368,4939558,149,159
1992,Indiana,IN,0.1663288755762119,2211426,92,96
1992,Iowa,IA,0.42414123392449016,1292494,36,37
1992,Kansas,KS,0.31667801503310855,1126447,49,49
1992,Kentucky,KY,0.270715583480732,1330858,57,58
1992,Louisiana,LA,1,1,16,16
1992,Maryland,MD,0.42031327900209525,1841298,37,37
1992,Missouri,MO,0.0696135233698357,2354916,219,241
1992,Nevada,NV,0.10836541389469778,495887,141,150
1992,New Hampshire,NH,0.028193450026053227,518170,540,699
1992,New York,NY,0.04099265342102233,7078805,371,440
1992,North Carolina,NC,0.040295342200271464,2577891,378,449
1992,North Dakota,ND,0.2012949200051323,303957,76,79
1992,Ohio,OH,0.08680080926951099,4793953,176,190
1992,Oklahoma,OK,0.2035856903037106,1294423,75,78
1992,Oregon,OR,0.05639690327194188,1376033,270,305
1992,Pennsylvania,PA,0.027727536799232053,4802410,549,715
1992,South Carolina,SC,0.03122146186415551,1180438,487,614
1992,South Dakota,SD,0.3239570098207746,334495,47,48
1992,Utah,UT,0.15668330962360197,758479,98,102
1992,Vermont,VT,0.10816864341234483,285739,141,150
1992,Washington,WA,0.07983767817047217,2218802,191,208
